phase,year,all_corn,plant_date,plant_day,plot,plot_num,plot_dir,rotation,corn,crop,variety,yield_bush,yield_ton,damage,treated,treatment,notes,,measured_yield
1,1894,FALSE,1894-05-03,123,3ND,3,NE,1,TRUE,CC,Boone County White,34.8,NA,NA,FALSE,none,NA,1044.963264,2581.059262
1,1894,FALSE,1894-05-03,123,3SA,3,SW,1,TRUE,CC,Boone County White,34.8,NA,NA,FALSE,none,NA,1044.963264,2581.059262
1,1894,FALSE,1894-05-03,123,3SB,3,SW,1,TRUE,CC,Boone County White,34.8,NA,NA,FALSE,none,NA,1044.963264,2581.059262
1,1894,FALSE,1894-05-03,123,3SC,3,SE,1,TRUE,CC,Boone County White,34.8,NA,NA,FALSE,none,NA,1044.963264,2581.059262
1,1894,FALSE,1894-05-03,123,3SD,3,SE,1,TRUE,CC,Boone County White,34.8,NA,NA,FALSE,none,NA,1044.963264,2581.059262
1,1894,FALSE,1894-03-21,80,4NA,4,NW,2,FALSE,O,Pringle's Progress,57.2,NA,NA,FALSE,none,NA,1717.583296,4242.430741
1,1894,FALSE,1894-03-21,80,4NB,4,NW,2,FALSE,O,Pringle's Progress,57.2,NA,NA,FALSE,none,NA,1717.583296,4242.430741
1,1894,FALSE,1894-03-21,80,4NC,4,NE,2,FALSE,O,Pringle's Progress,57.2,NA,NA,FALSE,none,NA,1717.583296,4242.430741
1,1894,FALSE,1894-03-21,80,4ND,4,NE,2,FALSE,O,Pringle's Progress,57.2,NA,NA,FALSE,none,NA,1717.583296,4242.430741
1,1894,FALSE,1894-03-21,80,4SA,4,SW,2,FALSE,O,Pringle's Progress,57.2,NA,NA,FALSE,none,NA,1717.583296,4242.430741
1,1894,FALSE,1894-03-21,80,4SB,4,SW,2,FALSE,O,Pringle's Progress,57.2,NA,NA,FALSE,none,NA,1717.583296,4242.430741
1,1894,FALSE,1894-03-21,80,4SC,4,SE,2,FALSE,O,Pringle's Progress,57.2,NA,NA,FALSE,none,NA,1717.583296,4242.430741
1,1894,FALSE,1894-03-21,80,4SD,4,SE,2,FALSE,O,Pringle's Progress,57.2,NA,NA,FALSE,none,NA,1717.583296,4242.430741
1,1894,FALSE,1894-03-21,80,5NA,5,NW,3,FALSE,O,Pringle's Progress,65.1,NA,NA,FALSE,none,NA,1954.801968,4828.360861
1,1894,FALSE,1894-03-21,80,5NB,5,NW,3,FALSE,O,Pringle's Progress,65.1,NA,NA,FALSE,none,NA,1954.801968,4828.360861
1,1894,FALSE,1894-03-21,80,5NC,5,NE,3,FALSE,O,Pringle's Progress,65.1,NA,NA,FALSE,none,NA,1954.801968,4828.360861
1,1894,FALSE,1894-03-21,80,5ND,5,NE,3,FALSE,O,Pringle's Progress,65.1,NA,NA,FALSE,none,NA,1954.801968,4828.360861
1,1894,FALSE,1894-03-21,80,5SA,5,SW,3,FALSE,O,Pringle's Progress,65.1,NA,NA,FALSE,none,NA,1954.801968,4828.360861
1,1894,FALSE,1894-03-21,80,5SB,5,SW,3,FALSE,O,Pringle's Progress,65.1,NA,NA,FALSE,none,NA,1954.801968,4828.360861
1,1894,FALSE,1894-03-21,80,5SC,5,SE,3,FALSE,O,Pringle's Progress,65.1,NA,NA,FALSE,none,NA,1954.801968,4828.360861
1,1894,FALSE,1894-03-21,80,5SD,5,SE,3,FALSE,O,Pringle's Progress,65.1,NA,NA,FALSE,none,NA,1954.801968,4828.360861
1,1895,FALSE,1895-05-03,123,3NA,3,NW,1,TRUE,CC,Boone County White,42.2,NA,NA,FALSE,none,NA,1267.168096,3129.905197
1,1895,FALSE,1895-05-03,123,3NB,3,NW,1,TRUE,CC,Boone County White,42.2,NA,NA,FALSE,none,NA,1267.168096,3129.905197
1,1895,FALSE,1895-05-03,123,3NC,3,NE,1,TRUE,CC,Boone County White,42.2,NA,NA,FALSE,none,NA,1267.168096,3129.905197
1,1895,FALSE,1895-05-03,123,3ND,3,NE,1,TRUE,CC,Boone County White,42.2,NA,NA,FALSE,none,NA,1267.168096,3129.905197
1,1895,FALSE,1895-05-03,123,3SA,3,SW,1,TRUE,CC,Boone County White,42.2,NA,NA,FALSE,none,NA,1267.168096,3129.905197
1,1895,FALSE,1895-05-03,123,3SB,3,SW,1,TRUE,CC,Boone County White,42.2,NA,NA,FALSE,none,NA,1267.168096,3129.905197
1,1895,FALSE,1895-05-03,123,3SC,3,SE,1,TRUE,CC,Boone County White,42.2,NA,NA,FALSE,none,NA,1267.168096,3129.905197
1,1895,FALSE,1895-05-03,123,3SD,3,SE,1,TRUE,CC,Boone County White,42.2,NA,NA,FALSE,none,NA,1267.168096,3129.905197
1,1895,FALSE,1895-05-03,123,4NA,4,NW,2,TRUE,C,Boone County White,41.6,NA,NA,FALSE,none,NA,1249.151488,3085.404175
1,1895,FALSE,1895-05-03,123,4NB,4,NW,2,TRUE,C,Boone County White,41.6,NA,NA,FALSE,none,NA,1249.151488,3085.404175
1,1895,FALSE,1895-05-03,123,4NC,4,NE,2,TRUE,C,Boone County White,41.6,NA,NA,FALSE,none,NA,1249.151488,3085.404175
1,1895,FALSE,1895-05-03,123,4ND,4,NE,2,TRUE,C,Boone County White,41.6,NA,NA,FALSE,none,NA,1249.151488,3085.404175
