uniqueid,plotid,Soil sampling depth,subsample,year,sampledate,Bulk density,Water retention at 0 bar,Soil texture name,Soil pH,Cation exchange capacity (CEC),Soil organic carbon (SOC),Total nitrogen (TN),Soil nitrate,Standard soil fertility routine analysis: soil pH detected with the 1:1 H2O method,Standard soil fertility routine analysis: soil cation exchange capacity (CEC),Standard soil fertility routine analysis: soil calcium (Ca) by base saturation,Standard soil fertility routine analysis: soil magnesium (Mg) by base saturation,Standard soil fertility routine analysis: soil potassium (K) by base saturation,Standard soil fertility routine analysis: lime test index,Standard soil fertility routine analysis: soil potassium (K) concentration measured by ammonium acetate or Mehlich-3 test,Standard soil fertility routine analysis: soil calcium (Ca) concentration measured by ammonium acetate or Mehlich-3 test,Standard soil fertility routine analysis: soil magnesium (Mg) concentration measured by ammonium acetate or Mehlich-3 test,Percent sand,Percent silt,Percent clay,Water retention at 0.05 bar,Water retention at 0.1 bar,Water retention at 0.33 bar,Water retention at 15 bar
NWREC,4102,0 to 10,1,2011,M,1.41,0.47,silt loam,6.8,18.47,15.3,1.3,M,6.8,M,M,M,M,M,187.0,3023.3,332.1,2.0,74.0,24.0,0.46,0.46,0.44,0.109
NWREC,2101,0 to 10,1,2011,M,1.31,0.5,silty clay,6.85,18.49,24.0,1.8,M,6.85,M,M,M,M,M,167.4,2954.6,376.6,2.0,68.0,30.0,0.45,0.43,0.41,0.117
NWREC,2011,10 to 20,1,2011,M,1.52,0.43,silty clay,6.85,18.59,24.2,1.9,M,6.85,M,M,M,M,M,144.0,3057.6,337.4,3.0,70.0,27.0,0.35,0.34,0.32,0.149
NWREC,3081,10 to 20,1,2011,M,1.44,0.46,silty clay,6.35,18.7,25.9,1.8,M,6.35,M,M,M,M,M,117.0,3096.7,336.9,2.0,70.0,28.0,0.46,0.46,0.46,0.139
NWREC,4102,10 to 20,1,2014,M,1.24,M,M,7.6,18.72,17.4,1.5,M,M,M,M,M,M,M,89.0,2788.0,452.0,M,M,M,M,M,M,M
NWREC,4091,40 to 60,1,2014,M,1.35,M,M,6.8,18.75,8.9,0.7,M,M,M,M,M,M,M,58.0,2612.0,485.0,M,M,M,M,M,M,M
NWREC,1071,40 to 60,1,2014,M,1.32,M,M,7.2,18.76,11.9,0.9,M,M,M,M,M,M,M,49.0,2756.0,480.0,M,M,M,M,M,M,M
NWREC,2092,0 to 10,1,2011,M,1.38,0.48,silty clay,6.01,18.91,28.6,2.8,M,6.01,M,M,M,M,M,198.7,3005.2,380.5,3.0,67.0,30.0,0.4,0.33,0.28,0.121
NWREC,4062,0 to 10,1,2011,M,1.27,0.52,silt loam,4.39,18.91,21.1,1.9,M,4.39,M,M,M,M,M,300.4,3057.3,320.1,3.0,72.0,25.0,0.52,0.52,0.51,0.102
NWREC,1022,40 to 60,1,2014,M,1.33,M,M,7.0,19.0,12.4,0.9,M,M,M,M,M,M,M,56.0,2766.0,493.0,M,M,M,M,M,M,M
NWREC,4081,40 to 60,1,2014,M,1.24,M,M,6.9,19.04,12.6,1.0,M,M,M,M,M,M,M,50.0,2847.0,417.0,M,M,M,M,M,M,M
NWREC,4092,10 to 20,1,2011,M,1.4,0.47,silty clay,6.47,19.07,15.2,1.4,M,6.47,M,M,M,M,M,125.2,3164.2,332.8,2.0,69.0,29.0,0.46,0.45,0.43,0.097
NWREC,1092,40 to 60,1,2014,M,1.22,M,M,7.1,19.07,11.2,0.9,M,M,M,M,M,M,M,54.0,2814.0,478.0,M,M,M,M,M,M,M
NWREC,3012,20 to 40,1,2014,M,1.2,M,M,6.6,19.07,15.5,1.2,M,M,M,M,M,M,M,53.0,2766.0,354.0,M,M,M,M,M,M,M
NWREC,1072,20 to 40,1,2014,M,1.34,M,M,7.0,19.11,17.8,1.1,M,M,M,M,M,M,M,45.0,2924.0,416.0,M,M,M,M,M,M,M
NWREC,1091,0 to 10,1,2011,M,1.2,0.55,silt loam,7.29,19.17,28.2,2.3,M,7.29,M,M,M,M,M,192.0,3051.7,396.1,2.0,73.0,25.0,0.54,0.52,0.51,0.097
NWREC,2091,40 to 60,1,2014,M,1.36,M,M,6.9,19.19,10.6,0.8,M,M,M,M,M,M,M,49.0,2802.0,458.0,M,M,M,M,M,M,M
NWREC,4092,10 to 20,1,2014,M,1.39,M,M,7.0,19.26,17.7,1.4,M,M,M,M,M,M,M,95.0,2934.0,410.0,M,M,M,M,M,M,M
NWREC,1092,10 to 20,1,2014,M,1.39,M,M,7.4,19.36,22.8,1.6,M,M,M,M,M,M,M,86.0,2909.0,453.0,M,M,M,M,M,M,M
NWREC,1012,20 to 40,1,2014,M,1.23,M,M,7.1,19.42,19.5,1.3,M,M,M,M,M,M,M,50.0,3001.0,404.0,M,M,M,M,M,M,M
NWREC,3092,10 to 20,1,2011,M,1.49,0.44,silty clay,6.15,19.45,25.2,1.9,M,6.15,M,M,M,M,M,112.4,3195.5,363.6,2.0,70.0,28.0,0.43,0.42,0.41,0.147
NWREC,2072,40 to 60,1,2014,M,1.33,M,M,6.8,19.45,10.1,0.9,M,M,M,M,M,M,M,49.0,2786.0,460.0,M,M,M,M,M,M,M
NWREC,4051,40 to 60,1,2014,M,1.31,M,M,6.4,19.47,16.2,1.2,M,M,M,M,M,M,M,52.0,2614.0,414.0,M,M,M,M,M,M,M
NWREC,1062,40 to 60,1,2014,M,1.28,M,M,7.0,19.51,12.1,0.8,M,M,M,M,M,M,M,50.0,2842.0,506.0,M,M,M,M,M,M,M
NWREC,4041,40 to 60,1,2014,M,1.32,M,M,6.7,19.52,18.2,1.2,M,M,M,M,M,M,M,48.0,2763.0,445.0,M,M,M,M,M,M,M
NWREC,1071,20 to 40,1,2011,M,M,M,silt loam,6.94,19.58,18.7,1.3,M,6.94,M,M,M,M,M,90.7,3327.0,297.9,2.0,72.0,26.0,M,M,M,M
NWREC,3091,0 to 10,1,2011,M,1.31,0.51,silt loam,4.72,19.62,28.4,2.2,M,4.72,M,M,M,M,M,181.5,3191.5,349.9,2.0,73.0,25.0,0.51,0.51,0.5,0.112
NWREC,3061,40 to 60,1,2014,M,1.3,M,M,6.6,19.64,18.6,1.3,M,M,M,M,M,M,M,44.0,2783.0,407.0,M,M,M,M,M,M,M
NWREC,1082,20 to 40,1,2014,M,1.39,M,M,7.2,19.66,18.6,1.3,M,M,M,M,M,M,M,43.0,3039.0,417.0,M,M,M,M,M,M,M
NWREC,3051,40 to 60,1,2014,M,1.3,M,M,6.7,19.67,12.5,1.1,M,M,M,M,M,M,M,51.0,2786.0,448.0,M,M,M,M,M,M,M
NWREC,4091,20 to 40,1,2014,M,1.32,M,M,6.8,19.68,13.7,1.0,M,M,M,M,M,M,M,71.0,2959.0,376.0,M,M,M,M,M,M,M
NWREC,4081,20 to 40,1,2014,M,1.25,M,M,7.0,19.7,17.9,1.3,M,M,M,M,M,M,M,57.0,3026.0,418.0,M,M,M,M,M,M,M
NWREC,4062,40 to 60,1,2014,M,1.32,M,M,6.5,19.71,11.3,0.9,M,M,M,M,M,M,M,64.0,2630.0,464.0,M,M,M,M,M,M,M
NWREC,1102,40 to 60,1,2011,M,M,M,silty clay,6.5,19.75,11.6,0.9,M,6.5,M,M,M,M,M,116.2,3105.6,432.0,4.0,66.0,30.0,M,M,M,M
NWREC,3032,40 to 60,1,2011,M,M,M,silty clay,6.31,19.75,7.3,0.7,M,6.31,M,M,M,M,M,143.0,3252.5,334.0,3.0,70.0,27.0,M,M,M,M
NWREC,3032,40 to 60,1,2014,M,1.3,M,M,6.5,19.89,15.2,1.2,M,M,M,M,M,M,M,53.0,2748.0,415.0,M,M,M,M,M,M,M
NWREC,3031,40 to 60,1,2011,M,M,M,silt loam,6.38,19.91,12.6,1.1,M,6.38,M,M,M,M,M,159.6,3237.8,361.0,3.0,71.0,26.0,M,M,M,M
NWREC,1061,20 to 40,1,2014,M,1.23,M,M,7.1,19.94,17.5,1.2,M,M,M,M,M,M,M,52.0,3058.0,432.0,M,M,M,M,M,M,M
NWREC,1071,20 to 40,1,2014,M,1.34,M,M,7.1,19.95,20.3,1.3,M,M,M,M,M,M,M,44.0,3080.0,422.0,M,M,M,M,M,M,M
NWREC,3052,40 to 60,1,2014,M,1.29,M,M,6.3,19.99,15.5,1.2,M,M,M,M,M,M,M,51.0,2622.0,424.0,M,M,M,M,M,M,M
NWREC,3031,40 to 60,1,2014,M,1.25,M,M,6.7,20.01,15.5,1.2,M,M,M,M,M,M,M,57.0,2809.0,466.0,M,M,M,M,M,M,M
